customer_id,cluster
763,1
764,6
765,2
766,7
767,3
768,0
769,1
770,0
771,6
772,2
773,0
776,4
777,0
779,2
780,6
781,2
782,1
783,1
785,6
787,7
788,6
789,1
791,7
792,2
793,3
794,6
795,0
797,6
798,5
799,3
800,5
803,6
804,2
805,6
806,7
808,3
809,7
810,1
811,4
812,4
813,1
814,1
815,1
816,1
817,4
818,5
819,6
820,6
821,6
822,1
823,2
824,4
826,2
827,4
830,0
831,6
832,6
833,7
834,1
835,3
836,0
837,0
838,1
839,2
840,1
842,3
843,6
844,3
845,6
846,1
847,3
848,5
849,5
851,0
852,5
853,5
854,2
855,6
856,7
857,2
859,0
860,6
862,4
863,2
864,3
865,0
866,0
867,7
868,0
870,1
873,3
874,7
875,5
876,2
878,0
879,0
880,2
881,5
883,2
884,0
886,1
887,6
889,6
890,1
891,2
893,3
894,1
896,3
897,6
898,1
899,3
900,3
901,3
902,4
903,4
904,3
905,6
906,6
907,0
908,5
909,0
910,0
911,4
913,6
914,1
916,6
917,3
918,3
919,3
920,6
921,4
922,6
923,6
924,0
925,2
926,6
927,1
928,6
929,3
930,1
931,2
933,7
934,4
935,7
936,6
937,3
938,5
939,7
940,2
941,0
942,7
944,2
945,1
946,4
947,5
948,3
950,5
951,1
953,1
954,2
955,6
956,4
957,5
958,6
960,7
962,0
963,0
964,4
965,6
966,3
967,7
968,2
969,1
970,6
973,1
974,2
975,2
977,7
978,6
979,7
980,6
981,6
982,7
983,0
986,6
989,5
990,3
991,7
992,5
993,6
994,6
996,4
997,0
998,1
999,5
1000,2
1001,2
1002,0
1003,5
1004,6
1007,0
1008,0
1009,0
1011,3
1014,3
1015,1
1016,6
1018,1
1019,2
1021,7
1022,3
1023,5
1024,6
1025,6
1026,7
1027,4
1028,7
1029,2
1030,4
1031,6
1032,4
1033,2
1034,1
1035,4
1038,1
1039,1
1040,5
1041,2
1042,5
1043,1
1044,4
1045,3
1046,6
1048,1
1049,6
1050,1
1051,0
1052,6
1055,7
1058,3
1060,4
1061,6
1063,4
1064,5
1065,7
1066,7
1067,0
1068,1
1069,4
1071,7
1072,7
1073,4
1074,5
1075,5
1076,7
1077,3
1078,6
1079,0
1080,0
1082,6
1083,6
1084,3
1085,1
1086,7
1087,3
1088,6
1089,5
1090,2
1091,6
1092,3
1093,2
1094,5
1095,4
1096,0
1097,5
1098,2
1099,7
1101,3
1103,7
1104,7
1105,5
1106,1
1108,6
1110,3
1111,3
1112,0
1113,6
1114,5
1115,7
1117,0
1118,1
1119,4
1120,5
1121,3
1122,5
1123,6
1124,2
1125,1
1126,6
1127,3
1128,3
1129,1
1130,6
1131,2
1132,4
1133,5
1134,0
1135,1
1136,2
1137,4
1138,3
1139,7
1140,7
1141,3
1142,6
1143,1
1145,4
1146,7
1150,5
1152,1
1153,5
1154,5
1155,1
1156,7
1157,0
1158,0
1159,2
1160,7
1163,6
1164,5
1167,5
1168,1
1170,5
1171,1
1172,5
1173,4
1175,2
1177,7
1178,6
1179,6
1180,2
1181,2
1182,3
1183,7
1184,5
1186,3
1187,4
1189,1
1190,5
1191,7
1193,5
1194,6
1196,0
1197,2
1199,1
1200,3
1201,4
1203,1
1205,3
1206,6
1207,5
1208,3
1209,5
1210,2
1211,5
1212,3
1213,6
1216,0
1217,2
1218,6
1219,1
1221,5
1222,4
1223,4
1224,5
1227,7
1228,2
1229,1
1230,5
1231,6
1233,1
1234,1
1235,2
1236,0
1237,0
1238,0
1239,4
1240,7
1241,6
1242,4
1243,2
1245,5
1246,6
1247,0
1249,4
1250,6
1251,1
1252,4
1253,7
1255,5
1256,6
1257,1
1258,1
1259,0
1261,5
1262,3
1263,6
1264,6
1265,3
1266,2
1268,6
1269,3
1271,3
1272,6
1273,0
1274,1
1275,4
1277,3
1278,1
1279,6
1280,0
1281,1
1282,7
1283,4
1284,0
1285,6
1286,4
1289,5
1290,1
1291,2
1292,2
1293,2
1294,7
1295,6
1296,6
1297,2
1298,3
1299,7
1300,6
1301,5
1302,1
1303,7
1304,7
1305,3
1306,6
1307,6
1310,5
1311,1
1312,4
1313,5
1314,0
1315,7
1316,6
1317,1
1318,3
1320,1
1321,4
1322,0
1323,0
1324,6
1326,4
1327,3
1328,3
1329,2
1330,3
1331,0
1332,1
1333,4
1334,1
1335,4
1336,5
1338,7
1339,7
1340,2
1341,5
1342,5
1343,3
1344,2
1345,3
1346,4
1347,5
1348,1
1349,0
1350,1
1351,0
1352,7
1353,5
1354,1
1355,1
1356,3
1357,6
1358,1
1359,3
1360,0
1361,6
1362,4
1363,4
1364,5
1365,4
1366,4
1367,6
1368,4
1370,1
1371,5
1373,6
1374,6
1376,2
1377,5
1378,3
1379,4
1380,6
1381,0
1383,3
1387,5
1388,6
1389,3
1390,2
1391,6
1392,0
1393,1
1394,2
1396,5
1397,0
1398,0
1399,1
1400,0
1401,2
1402,2
1403,4
1404,6
1405,2
1406,0
1407,7
1408,7
1409,7
1411,6
1412,4
1413,6
1414,6
1415,1
1416,6
1417,4
1418,5
1419,5
1420,5
1421,5
1422,5
1423,5
1424,3
1426,3
1427,3
1428,0
1429,5
1430,0
1431,1
1432,5
1433,1
1434,3
1435,2
1436,7
1437,4
1438,1
1439,5
1440,3
1441,6
1442,5
1443,4
1444,1
1447,3
1448,3
1450,6
1451,5
1452,2
1453,7
1454,4
1456,0
1460,1
1461,0
1462,1
1463,1
1465,5
1466,3
1467,4
1468,7
1469,4
1471,5
1472,3
1474,7
1475,7
1476,1
1477,5
1478,0
1479,5
1480,0
1481,3
1483,2
1484,6
1485,3
1486,1
1487,1
1488,0
1489,1
1490,7
1491,1
1492,4
1495,3
1496,1
1497,7
1498,0
1499,0
1500,7
1501,6
1502,1
1503,2
1504,6
1505,1
1506,6
1507,0
1510,6
1511,4
1512,2
1513,6
1514,1
1516,1
1517,6
1518,0
1519,0
1520,2
1522,6
1523,6
1524,6
1526,2
1527,5
1528,4
1529,5
1530,7
1531,6
1532,6
1533,2
1534,6
1535,6
1536,6
1537,5
1538,3
1539,5
1541,4
1542,5
1543,3
1544,5
1546,1
1547,5
1550,3
1551,3
1552,5
1553,5
1555,2
1556,7
1557,7
1558,5
1559,0
1560,2
1561,6
1562,6
1564,1
1565,0
1566,6
1568,2
1570,7
1571,3
1572,3
1575,3
1579,1
1580,0
1581,7
1583,0
1584,3
1585,2
1586,6
1587,2
1590,6
1591,4
1592,5
1593,7
1595,6
